status,url,etag,content_length,content_type,last_modified,id
200,https://www.let.leidenuniv.nl/Dutch/Renaissance/ALFAPS.html,"""3265d-5288148279880-gzip""",,text/html,"Mon, 04 Jan 2016 12:30:10 GMT",../Renaissance/ALFAPS
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/A_Tr_Welstandt1660.html,"""f8aa-5b92c73706a80-gzip""",18212,text/html,"Mon, 18 Jan 2021 13:10:50 GMT",A_Tr_Welstandt1660
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/AVHAsotus1650.html,"""d662-5b92c73336180-gzip""",19808,text/html,"Mon, 18 Jan 2021 13:10:46 GMT",AVHAsotus1650
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/AcketClarinde1700.html,"""27c82-5b92c73706a80-gzip""",50849,text/html,"Mon, 18 Jan 2021 13:10:50 GMT",AcketClarinde1700
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/AelhuisenAranEtTitusJanVos1658.html,"""3d30e-5cd81b2ee7300-gzip""",54523,text/html,"Mon, 04 Oct 2021 07:17:00 GMT",AelhuisenAranEtTitusJanVos1658
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/AlewynBedroogeWoekeraar1702.html,"""30d6c-5f9ca19da4c00-gzip""",41689,text/html,"Thu, 20 Apr 2023 20:08:16 GMT",AlewynBedroogeWoekeraar1702
404,https://www.let.leidenuniv.nl/Dutch/Ceneton/gp.html,,,,,gp
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/AlewynOrpheus1705ca.html,"""37a8-5c221d8a5b100-gzip""",3866,text/html,"Wed, 12 May 2021 13:18:28 GMT",AlewynOrpheus1705ca
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/AlewynPhilippynKoppelaar1707b.html,"""3343d-5b92c7a977880-gzip""",42091,text/html,"Mon, 18 Jan 2021 13:12:50 GMT",AlewynPhilippynKoppelaar1707b
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/Joncourtisaen1708.html,"""11027-5b92c89412200-gzip""",22093,text/html,"Mon, 18 Jan 2021 13:16:56 GMT",Joncourtisaen1708
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/AngelkotVroutjeEphesen1721.html,"""1a110-5b92d49e58a00-gzip""",22108,text/html,"Mon, 18 Jan 2021 14:10:48 GMT",AngelkotVroutjeEphesen1721
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/AngelkotMisantrope1682.html,"""34131-5b92c7351e600-gzip""",51180,text/html,"Mon, 18 Jan 2021 13:10:48 GMT",AngelkotMisantrope1682
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/AngelkotVechter1679.html,"""10c72-5aabcda9f4d80-gzip""",13892,text/html,"Sat, 18 Jul 2020 20:09:42 GMT",AngelkotVechter1679
404,https://www.let.leidenuniv.nl/Dutch/Ceneton/ArendszMithridates1697.html,,,,,ArendszMithridates1697
200,https://www.let.leidenuniv.nl/Dutch/Ceneton/ArendszSchool1701.html,"""342d6-5b92c7351e600-gzip""",50927,text/html,"Mon, 18 Jan 2021 13:10:48 GMT",ArendszSchool1701
